ParentPAC,Contribution,ContributionDifference
Exelon Corp,201233,9767
Southern Co,195167,-95167
Florida Power & Light,157750,-20417
American Electric Power,157433,-47933
Dominion Resources,151950,-1250
Duke Energy,147333,-16333
Edison Electric Institute,141833,13333
Edison International,136050,17883
Firstenergy Corp,133550,-21550
Progress Energy,131083,-9917
Energy Future Holdings Corp,118870,-32378
Entergy Corp,117417,1750
Dte Energy,113893,20107
Constellation Energy,97000,23000
Ameren Corp,88000,-11667
Xcel Energy,87892,2558
Sempra Energy,83183,21817
Ppl Corp,74833,833
Nisource Inc,67350,-33817
Pg&e Corp,66933,26733
Cms Energy,60400,67
Nrg Energy,58383,14283
Allegheny Energy,56167,-21833
Pinnacle West Capital,53000,-500
National Grid Usa,48867,34367
Public Service Electric & Gas,48267,22933
Calpine Corp,44895,20895
Northeast Utilities,43667,21667
Teco Energy,42500,-6500
Itc Holdings,33767,-1300
Covanta Energy Corp,31667,22000
Puget Sound Energy,31381,25338
Midamerican Energy,31167,-16233
Mirant Corp,26208,2542
Electric Power Supply Assn,24850,8450
American Public Power Assn,23833,2000
Kansas City Power & Light,19833,-13167
We Energies,19750,3417
Scana Corp,19467,200
Black Hills Corp,18000,-14000
Pepco Holdings,17917,17917
Nv Energy,17000,4667
Alliant Energy,16667,6333
Consolidated Edison Inc,16283,15283
Pnm Resources,15792,12458
Centerpoint Energy,14667,-7333
Avista Corp,14300,-10133
Dynegy Inc,14167,-7433
Mdu Resources Group,13217,-4550
Oge Energy,13000,-9667
Idaho Power,12666,-11000
Iberdrola Usa,12250,8250
Allete Inc,12000,-1333
Genon Energy,11167,-167
Vectren Corp,10383,-7050
Portland General Electric,6667,2167
Cleco Corp,6517,-5850
Eon Us,6333,-2333
Tenaska Inc,4667,-1333
Integrys Energy Group,4658,2192
Empire District Electric,3333,-2667
International Power America,2667,1667
Florida Municipal Electric Assn,2333,-917
Converteam Holdings North America,2133,-800
Berkeley Electric Cooperative,2000,-667
United Illuminating,1900,1900
Otter Tail Power,1850,150
Aes Corp,1833,-1833
Westar Energy,1417,-1417
Duquesne Light Co,833,-167
Northwestern Energy,583,-250
Uns Energy Corp,500,167
Excelsior Energy,458,225
Aiken Electric Cooperative,333,-333
Great River Energy,83,83
